title,price,rating,in_stock
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,True
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,True
This One Summer,19.49,4,True
Thirst,17.27,5,True
The Torch Is Passed: A Harding Family Story,19.09,1,True
The Secret of Dreadwillow Carse,56.13,1,True
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,True
The Past Never Ends,56.5,4,True
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,True
The Nameless City (The Nameless City #1),38.16,4,True
The Murder That Never Was (Forensic Instincts #5),54.11,3,True
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,True
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,True
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,True
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,True
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,True
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,True
The Death of Humanity: and the Case for Life,58.11,4,True
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,True
The Art Forger,40.76,3,True
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,True
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,True
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,True
Soul Reader,39.58,2,True
Security,39.25,2,True
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,True
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,True
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,True
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,True
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,True
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,True
"Pop Gun War, Volume 1: Gift",18.97,1,True
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,True
Patience,10.16,3,True
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,True
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,True
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,True
On a Midnight Clear,14.07,3,True
Obsidian (Lux #1),14.86,2,True
My Paris Kitchen: Recipes and Stories,33.37,2,True
Masks and Shadows,56.4,2,True
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,True
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,True
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,True
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,True
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,True
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,True
Join,35.67,5,True
In the Country We Love: My Family Divided,22.0,4,True
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,True
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,True
I am a Hero Omnibus Volume 1,54.63,3,True
How to Be Miserable: 40 Strategies You Already Use,46.03,1,True
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,True
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,True
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,True
First and First (Five Boroughs #3),15.97,4,True
Fifty Shades Darker (Fifty Shades #2),21.96,1,True
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,True
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,True
Danganronpa Volume 1,51.99,4,True
Crown of Midnight (Throne of Glass #2),43.29,3,True
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,True
Camp Midnight,17.08,4,True
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,True
Burning,28.81,3,True
Bossypants,49.46,2,True
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,True
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,True
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,True
A World of Flavor: Your Gluten Free Passport,42.95,1,True
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,True
A Murder in Time,16.64,1,True
A Flight of Arrows (The Pathfinders #2),55.53,5,True
A Fierce and Subtle Poison,28.13,4,True
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,True
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,True
You Are What You Love: The Spiritual Power of Habit,21.87,4,True
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,True
Tuesday Nights in 1980,21.04,2,True
Tracing Numbers on a Train,41.6,3,True
Throne of Glass (Throne of Glass #1),35.07,3,True
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,True
Thirteen Reasons Why,52.72,1,True
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,4,True
The Wedding Dress,24.12,1,True
The Vacationers,42.15,4,True
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,5,True
The Stranger,17.44,4,True
The Shadow Hero (The Shadow Hero),33.14,1,True
The Secret (The Secret #1),27.37,4,True
The Regional Office Is Under Attack!,51.36,5,True
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,True
The Project,10.65,1,True
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,True
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,True
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,True
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,True
The Mistake (Off-Campus #2),43.29,3,True
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,True
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,True
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,True
The Kite Runner,41.82,4,True
The House by the Lake,36.95,1,True
The Glittering Court (The Glittering Court #1),44.28,1,True
The Girl on the Train,55.02,2,True
The Genius of Birds,17.24,1,True
The Emerald Mystery,23.15,2,True
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,True
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,True
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,True
The Art of War,33.34,5,True
The Argonauts,10.93,2,True
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,True
Suddenly in Love (Lake Haven #1),55.99,2,True
Something More Than This,16.24,4,True
Soft Apocalypse,26.12,2,True
So You've Been Publicly Shamed,12.23,2,True
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,True
"Shobu Samurai, Project Aryoku (#3)",29.06,3,True
Secrets and Lace (Fatal Hearts #1),20.27,1,True
Scarlett Epstein Hates It Here,43.55,5,True
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,True
Redeeming Love,20.47,5,True
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,True
Poems That Make Grown Women Cry,14.19,4,True
"Nightingale, Sing",38.28,1,True
Night Sky with Exit Wounds,41.05,1,True
Mrs. Houdini,30.25,5,True
Modern Romance,28.26,5,True
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,1,True
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,True
Little Red,13.47,3,True
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,5,True
Large Print Heart of the Pride,19.15,2,True
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,True
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,1,True
Grumbles,22.16,2,True
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,True
Frostbite (Vampire Academy #2),29.99,5,True
Follow You Home,21.36,1,True
First Steps for New Christians (Print Edition),29.0,1,True
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,True
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,True
Eureka Trivia 6.0,54.59,4,True
Drive: The Surprising Truth About What Motivates Us,34.95,4,True
Done Rubbed Out (Reightman & Bailey #1),37.72,5,True
Doing It Over (Most Likely To #1),35.61,3,True
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,True
Dark Notes,19.19,5,True
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3,True
Close to You,49.46,4,True
Chasing Heaven: What Dying Taught Me About Living,37.8,2,True
Big Magic: Creative Living Beyond Fear,30.8,3,True
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2,True
Beauty Restored (Riley Family Legacy Novellas #3),11.11,2,True
Batman: The Long Halloween (Batman),36.5,2,True
Batman: The Dark Knight Returns (Batman),15.38,5,True
Ayumi's Violin,15.48,2,True
Anonymous,46.82,4,True
Amy Meets the Saints and Sages,18.46,3,True
Amid the Chaos,36.58,1,True
Amatus,50.54,5,True
Agnostic: A Spirited Manifesto,12.51,5,True
Zealot: The Life and Times of Jesus of Nazareth,24.7,3,True
You (You #1),43.61,5,True
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,True
Wild Swans,14.36,2,True
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4,True
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,True
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,True
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,True
Walt Disney's Alice in Wonderland,12.96,5,True
V for Vendetta (V for Vendetta Complete),37.1,4,True
Until Friday Night (The Field Party #1),46.31,2,True
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2,True
Twenty Yawns,22.08,2,True
Through the Woods,25.38,2,True
This Is Where It Ends,27.12,2,True
The Year of Magical Thinking,43.04,2,True
The Wright Brothers,56.8,4,True
The White Queen (The Cousins' War #1),25.91,5,True
The Wedding Pact (The O'Malleys #2),32.61,3,True
The Time Keeper,27.88,5,True
The Testament of Mary,52.67,4,True
The Star-Touched Queen,46.02,5,True
The Songs of the Gods,44.48,5,True
The Song of Achilles,37.4,5,True
The Rosie Project (Don Tillman #1),54.04,1,True
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,True
The Marriage of Opposites,28.08,4,True
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1,True
The Long Haul (Diary of a Wimpy Kid #9),44.07,1,True
The Loney,23.4,1,True
The Literature Book (Big Ideas Simply Explained),17.43,3,True
The Last Mile (Amos Decker #2),54.21,2,True
The Immortal Life of Henrietta Lacks,40.67,2,True
The Hidden Oracle (The Trials of Apollo #1),52.26,2,True
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,True
The Guilty (Will Robie #4),13.82,2,True
The First Hostage (J.B. Collins #2),25.85,3,True
The Dovekeepers,48.78,1,True
The Darkest Lie,35.35,5,True
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,True
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,1,True
The 14th Colony (Cotton Malone #11),39.24,1,True
That Darkness (Gardiner and Renner #1),13.92,1,True
Tastes Like Fear (DI Marnie Rome #3),10.69,1,True
Take Me with You,45.21,3,True
Swell: A Year of Waves,45.58,1,True
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,True
Still Life with Bread Crumbs,26.41,3,True
Steve Jobs,39.5,5,True
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,True
Someone Like You (The Harrisons #2),52.79,5,True
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,True
Shtum,55.84,4,True
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,True
salt.,46.78,4,True
Robin War,47.82,3,True
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,True
Rain Fish,23.57,3,True
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,True
Pet Sematary,10.56,3,True
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,True
Once Was a Time,18.28,2,True
Old School (Diary of a Wimpy Kid #10),11.83,5,True
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,True
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,True
My Name Is Lucy Barton,41.56,1,True
My Mrs. Brown,24.48,3,True
My Kind of Crazy,40.36,1,True
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,True
More Than Music (Chasing the Dream #1),37.61,2,True
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,True
Luis Paints the World,53.95,3,True
Luckiest Girl Alive,49.83,3,True
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,True
Love Is a Mix Tape (Music #1),18.03,1,True
Looking for Lovely: Collecting the Moments that Matter,29.14,5,True
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,True
Let It Out: A Journey Through Journaling,26.79,5,True
Lady Midnight (The Dark Artifices #1),16.28,5,True
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,True
Island of Dragons (Unwanteds #7),29.65,1,True
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,True
I Am Pilgrim (Pilgrim #1),10.6,4,True
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,True
"Hush, Hush (Hush, Hush #1)",47.02,3,True
Hold Your Breath (Search and Rescue #1),28.82,1,True
Hamilton: The Revolution,58.79,3,True
Greek Mythic History,10.23,5,True
God: The Most Unpleasant Character in All Fiction,30.03,5,True
Glory over Everything: Beyond The Kitchen House,45.84,3,True
Feathers: Displays of Brilliant Plumage,49.05,3,True
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,True
Every Last Word,46.47,3,True
Eligible (The Austen Project #4),27.09,3,True
El Deafo,57.62,5,True
Eight Hundred Grapes,14.39,4,True
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5,True
"Eat Fat, Get Thin",54.07,2,True
Don't Get Caught,55.35,1,True
Doctor Sleep (The Shining #2),40.12,2,True
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5,True
Dear Mr. Knightley,11.21,5,True
Daily Fantasy Sports,36.58,1,True
Crazy Love: Overwhelmed by a Relentless God,47.72,2,True
Cometh the Hour (The Clifton Chronicles #6),25.01,3,True
Code Name Verity (Code Name Verity #1),22.13,4,True
Clockwork Angel (The Infernal Devices #1),44.14,1,True
City of Glass (The Mortal Instruments #3),56.02,4,True
City of Fallen Angels (The Mortal Instruments #4),11.23,4,True
City of Bones (The Mortal Instruments #1),43.28,1,True
City of Ashes (The Mortal Instruments #2),47.27,1,True
Cell,20.29,4,True
Catching Jordan (Hundred Oaks),50.83,3,True
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,3,True
Carrie,46.23,2,True
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4,True
Brain on Fire: My Month of Madness,49.32,5,True
Batman: Europa,32.01,2,True
Barefoot Contessa Back to Basics,28.01,1,True
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,5,True
Balloon Animals,17.03,3,True
Art Ops Vol. 1,48.8,3,True
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,4,True
Angels Walking (Angels Walking #1),34.2,2,True
Angels & Demons (Robert Langdon #1),51.48,3,True
All the Light We Cannot See,29.87,5,True
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,True
Abstract City,56.37,5,True
A Time of Torment (Charlie Parker #14),48.35,5,True
A Study in Scarlet (Sherlock Holmes #1),16.73,2,True
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,2,True
A People's History of the United States,40.79,2,True
A Man Called Ove,39.72,1,True
A Distant Mirror: The Calamitous 14th Century,14.58,3,True
A Brush of Wings (Angels Walking #3),55.51,1,True
1491: New Revelations of the Americas Before Columbus,21.8,3,True
"The Three Searches, Meaning, and the Story",13.33,3,True
Searching for Meaning in Gailana,38.73,1,True
Rook,37.86,4,True
My Kitchen Year: 136 Recipes That Saved My Life,11.53,2,True
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,1,True
Will You Won't You Want Me?,13.86,3,True
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,1,True
The Star-Touched Queen,32.3,5,True
The Silent Sister (Riley MacPherson #1),46.29,5,True
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,1,True
The Lonely City: Adventures in the Art of Being Alone,33.26,2,True
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,4,True
The Golden Condom: And Other Essays on Love Lost and Found,39.43,1,True
The Epidemic (The Program 0.6),14.44,5,True
The Dinner Party,56.54,2,True
The Diary of a Young Girl,59.9,3,True
The Children,11.88,3,True
Stars Above (The Lunar Chronicles #4.5),48.05,2,True
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,3,True
Raspberry Pi Electronics Projects for the Evil Genius,49.67,4,True
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,1,True
Psycho: Sanitarium (Psycho #1.5),36.97,5,True
Poisonous (Max Revere Novels #3),26.8,3,True
One with You (Crossfire #5),15.71,4,True
No Love Allowed (Dodge Cove #1),54.65,4,True
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,True
Most Wanted,35.28,3,True
"Love, Lies and Spies",20.55,2,True
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,5,True
Hide Away (Eve Duncan #20),11.84,1,True
Furiously Happy: A Funny Book About Horrible Things,41.46,4,True
Everyday Italian: 125 Simple and Delicious Recipes,20.1,5,True
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,1,True
Eleanor & Park,56.51,5,True
Dirty (Dive Bar #1),40.83,4,True
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,1,True
Boar Island (Anna Pigeon #19),59.48,3,True
A Paris Apartment,39.01,4,True
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,1,True
Troublemaker: Surviving Hollywood and Scientology,48.39,2,True
The Widow,27.26,2,True
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4,True
The Improbability of Love,59.45,1,True
The Art of Startup Fundraising,21.0,3,True
Take Me Home Tonight (Rock Star Romance #3),53.98,3,True
Sleeping Giants (Themis Files #1),48.74,1,True
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,2,True
Playing with Fire,13.71,3,True
Off the Hook (Fishing for Trouble #1),47.67,3,True
Mothering Sunday,13.34,2,True
"Mother, Can You Not?",16.89,5,True
M Train,27.18,1,True
Lilac Girls,17.28,2,True
Lies and Other Acts of Love,45.14,1,True
Lab Girl,40.85,1,True
Keep Me Posted,20.46,4,True
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,3,True
Grey (Fifty Shades #4),48.49,4,True
"Exit, Pursued by a Bear",51.34,4,True
Daredevils,16.34,3,True
Cravings: Recipes for What You Want to Eat,20.5,3,True
Born for This: How to Find the Work You Were Meant to Do,21.59,5,True
Arena,21.36,4,True
Adultery,20.88,5,True
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,3,True
A Gentleman's Position (Society of Gentlemen #3),14.75,5,True
11/22/63,48.48,3,True
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,2,True
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,5,True
Without Shame,48.27,5,True
Watchmen,58.05,4,True
Unlimited Intuition Now,58.87,4,True
Underlying Notes,11.82,2,True
The Shack,28.03,1,True
The New Brand You: Your New Image Makes the Sale for You,44.05,5,True
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,4,True
The Flowers Lied,16.68,2,True
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,1,True
The Book of Mormon,24.57,3,True
The Art and Science of Low Carbohydrate Living,52.98,5,True
The Alien Club,54.4,1,True
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,5,True
Nap-a-Roo,25.08,1,True
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,4,True
Modern Day Fables,47.44,2,True
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,1,True
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4,True
Dress Your Family in Corduroy and Denim,43.68,3,True
Don't Forget Steven,33.23,1,True
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,2,True
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,4,True
A Shard of Ice (The Black Symphony Saga #1),56.63,3,True
A Hero's Curse (The Unseen Chronicles #1),50.49,3,True
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,2,True
"Zero to One: Notes on Startups, or How to Build the Future",34.06,3,True
Why Not Me?,17.76,1,True
When Breath Becomes Air,39.36,2,True
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,True
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,5,True
The New Drawing on the Right Side of the Brain,43.02,3,True
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,4,True
The Martian (The Martian #1),41.39,2,True
The High Mountains of Portugal,51.15,1,True
The Grownup,35.88,1,True
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,1,True
South of Sunshine,28.93,1,True
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,5,True
Silence in the Dark (Logan Point #4),58.33,3,True
Shadows of the Past (Logan Point #1),39.67,5,True
Roller Girl,14.1,5,True
Rising Strong,21.82,3,True
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,1,True
Please Kill Me: The Uncensored Oral History of Punk,31.19,4,True
Out of Print: City Lights Spotlight No. 14,53.64,5,True
My Life Next Door (My Life Next Door ),36.39,5,True
Miller's Valley,58.54,2,True
Man's Search for Meaning,29.48,3,True
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,2,True
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,3,True
Les Fleurs du Mal,29.04,5,True
Left Behind (Left Behind #1),40.72,2,True
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,5,True
Kierkegaard: A Christian Missionary to Christians,47.13,1,True
John Vassos: Industrial Design for Modern Life,20.22,4,True
I'll Give You the Sun,56.48,1,True
I Will Find You,44.21,1,True
Hystopia: A Novel,21.96,4,True
Howl and Other Poems,40.45,2,True
History of Beauty,10.29,4,True
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,2,True
Future Shock (Future Shock #1),55.65,5,True
Ender's Game (The Ender Quintet #1),43.64,1,True
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,1,True
Death by Leisure: A Cautionary Tale,37.51,4,True
Brilliant Beacons: A History of the American Lighthouse,11.45,3,True
Brazen: The Courage to Find the You That's Been Hiding,19.22,2,True
Between the World and Me,56.91,4,True
Being Mortal: Medicine and What Matters in the End,55.06,4,True
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,3,True
32 Yolks,53.63,2,True
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,5,True
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,3,True
